property_type,district,area_text,bedrooms,bathrooms,price_text,posted_at,price
nha_mat_pho,Quận Đống Đa,45 m2,2,2,25 tỷ,Hôm nay,25000000000.0
nha_mat_pho,Quận Hai Bà Trưng,80 m2,3,3,48 tỷ,Hôm nay,48000000000.0
nha_mat_pho,Quận Đống Đa,83 m2,5,5,46 tỷ,Hôm nay,46000000000.0
nha_mat_pho,Quận Hoàn Kiếm,35 m2,3,3,40 tỷ,Hôm nay,40000000000.0
nha_mat_pho,Quận Đống Đa,32 m2,4,4,16 tỷ 800 triệu,Hôm nay,16800000000.0
nha_mat_pho,Quận Hoàn Kiếm,75 m2,4,3,65 tỷ,Hôm nay,65000000000.0
nha_mat_pho,Quận Hai Bà Trưng,45 m2,4,4,41 tỷ,Hôm nay,41000000000.0
nha_mat_pho,Quận Ba Đình,47 m2,3,3,30 tỷ 500 triệu,Hôm nay,30500000000.0
nha_mat_pho,Quận Hai Bà Trưng,115 m2,6,6,59 tỷ 600 triệu,Hôm nay,59600000000.0
nha_mat_pho,Quận Hoàng Mai,48 m2,4,4,23 tỷ,Hôm nay,23000000000.0
nha_mat_pho,Quận Hai Bà Trưng,50 m2,4,5,28 tỷ,Hôm nay,28000000000.0
nha_mat_pho,Quận Cầu Giấy,43 m2,4,4,33 tỷ,Hôm nay,33000000000.0
nha_mat_pho,Quận Cầu Giấy,45 m2,4,4,29 tỷ 800 triệu,Hôm nay,29800000000.0
nha_mat_pho,Quận Cầu Giấy,40 m2,5,5,30 tỷ,Hôm nay,30000000000.0
nha_mat_pho,Quận Hai Bà Trưng,32 m2,3,4,14 tỷ 500 triệu,Hôm nay,14500000000.0
nha_mat_pho,Quận Đống Đa,83 m2,10,10,35 tỷ,Hôm nay,35000000000.0
nha_mat_pho,Quận Ba Đình,102 m2,16,16,67 tỷ 500 triệu,Hôm nay,67500000000.0
nha_mat_pho,Quận Đống Đa,58 m2,2,2,43 tỷ,Hôm nay,43000000000.0
