title,url,property_type,address,district,city,area_text,bedrooms,bathrooms,price_text,posted_at
Cực đẹp | Mặt phố Đoàn Thị Điểm | 45m2 | Mặt tiền 5.5m | Giá 25 tỷ,https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/cuc-dep-mat-pho-doan-thi-diem-45m2-mat-tien-5-5m-gia-25-ty-id22736830,nha_mat_pho,"Quận Đống Đa, Hà Nội",Quận Đống Đa,Hà Nội,45 m2,2,2,25 tỷ,Hôm nay
Hàng hiếm|Mặt phố Trần Đại Nghĩa|80m2 x 4 tầng|MT 4m| Giá nhỉnh 40 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/hang-hiem-mat-pho-tran-dai-nghia-80m2-x-4-tang-mt-4m-gia-nhinh-40-ty-id22716596,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,80 m2,3,3,48 tỷ,Hôm nay
Cực đẹp | Mặt phố Khâm Thiên | 83m2 x 5 tầng | MT 4.2m | Giá 46 tỷ,https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/cuc-dep-mat-pho-kham-thien-83m2-x-5-tang-mt-4-2m-gia-46-ty-id22724371,nha_mat_pho,"Quận Đống Đa, Hà Nội",Quận Đống Đa,Hà Nội,83 m2,5,5,46 tỷ,Hôm nay
Hiếm| Mặt phố Đường Thành | 35m2 x 4 tầng | MT 4.2m | Giá 40 tỷ,https://mogi.vn/quan-hoan-kiem/mua-nha-mat-tien-pho/hiem-mat-pho-duong-thanh-35m2-x-4-tang-mt-4-2m-gia-40-ty-id22736591,nha_mat_pho,"Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Hà Nội,35 m2,3,3,40 tỷ,Hôm nay
Hàng đẹp | Mặt phố Láng Hạ | 32m2 x 5 tầng | MT 3.2m | Chỉ 16.8 tỷ,https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/hang-dep-mat-pho-lang-ha-32m2-x-5-tang-mt-3-2m-chi-16-8-ty-id22736590,nha_mat_pho,"Quận Đống Đa, Hà Nội",Quận Đống Đa,Hà Nội,32 m2,4,4,16 tỷ 800 triệu,Hôm nay
Siêu phẩm lô góc | Mặt phố Lý Nam Đế | 75m2 | MT 10m | Giá chỉ 65 tỷ,https://mogi.vn/quan-hoan-kiem/mua-nha-mat-tien-pho/sieu-pham-lo-goc-mat-pho-ly-nam-de-75m2-mt-10m-gia-chi-65-ty-id22736586,nha_mat_pho,"Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Hà Nội,75 m2,4,3,65 tỷ,Hôm nay
Mặt phố Thái Phiên | Vincom Bà Triệu | 45m2 x 4 tầng | MT 4m | 41 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/mat-pho-thai-phien-vincom-ba-trieu-45m2-x-4-tang-mt-4m-41-ty-id22735595,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,45 m2,4,4,41 tỷ,Hôm nay
Bán mặt phố Kim Mã | 47m2 x 4 tầng | MT 3.5m | Giá nhỉnh 30 tỷ,https://mogi.vn/quan-ba-dinh/mua-nha-mat-tien-pho/ban-mat-pho-kim-ma-47m2-x-4-tang-mt-3-5m-gia-nhinh-30-ty-id22734981,nha_mat_pho,"Quận Ba Đình, Hà Nội",Quận Ba Đình,Hà Nội,47 m2,3,3,30 tỷ 500 triệu,Hôm nay
Bán mặt phố Bạch Mai | 115m2 | 7 tầng | MT 4m | Giá 59.6 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-mat-pho-bach-mai-115m2-7-tang-mt-4m-gia-59-6-ty-id22727280,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,115 m2,6,6,59 tỷ 600 triệu,Hôm nay
Bán mặt phố Nguyễn Đức Cảnh | 48m2 | 6 tầng mới | MT 4.2m | Giá 23 tỷ,https://mogi.vn/quan-hoang-mai/mua-nha-mat-tien-pho/ban-mat-pho-nguyen-duc-canh-48m2-6-tang-moi-mt-4-2m-gia-23-ty-id22727233,nha_mat_pho,"Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Hà Nội,48 m2,4,4,23 tỷ,Hôm nay
Bán mặt phố Yên Lạc | 50m2 | 7 tầng | MT 4.8m | Giá chỉ 28 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-mat-pho-yen-lac-50m2-7-tang-mt-4-8m-gia-chi-28-ty-id22727027,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,50 m2,4,5,28 tỷ,Hôm nay
Bán mặt phố Trần Quốc Hoàn | 43m2 x 4 tầng | MT 3.7m | Giá 33 tỷ,https://mogi.vn/quan-cau-giay/mua-nha-mat-tien-pho/ban-mat-pho-tran-quoc-hoan-43m2-x-4-tang-mt-3-7m-gia-33-ty-id22726241,nha_mat_pho,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Hà Nội,43 m2,4,4,33 tỷ,Hôm nay
Hiếm | Bán mặt phố Cầu Giấy | 45m2 X 4 tầng | MT 3.2m | Giá 29.8 tỷ,https://mogi.vn/quan-cau-giay/mua-nha-mat-tien-pho/hiem-ban-mat-pho-cau-giay-45m2-x-4-tang-mt-3-2m-gia-29-8-ty-id22726046,nha_mat_pho,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Hà Nội,45 m2,4,4,29 tỷ 800 triệu,Hôm nay
Hàng đẹp | 40m2 | 5 tầng mới | Bán nhà mặt phố Xuân Thuỷ,https://mogi.vn/quan-cau-giay/mua-nha-mat-tien-pho/hang-dep-40m2-5-tang-moi-ban-nha-mat-pho-xuan-thuy-id22732242,nha_mat_pho,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Hà Nội,40 m2,5,5,30 tỷ,Hôm nay
Cực hiếm| Mặt phố Chùa Quỳnh | 32m2 x 5 tầng | MT 3.4m  | Chỉ 14.5 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/cuc-hiem-mat-pho-chua-quynh-32m2-x-5-tang-mt-3-4m-chi-14-5-ty-id22736316,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,32 m2,3,4,14 tỷ 500 triệu,Hôm nay
Mặt phố Phạm Ngọc Thạch|83m2 x 6 tầng|MT 3.5m|10 Phòng|Giá 35 tỷ,https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/mat-pho-pham-ngoc-thach-83m2-x-6-tang-mt-3-5m-10-phong-gia-35-ty-id22736300,nha_mat_pho,"Quận Đống Đa, Hà Nội",Quận Đống Đa,Hà Nội,83 m2,10,10,35 tỷ,Hôm nay
Siêu phẩm | Mặt phố Linh Lang | 102m2 x 10 tầng | MT 11m | Giá 67.5 tỷ,https://mogi.vn/quan-ba-dinh/mua-nha-mat-tien-pho/sieu-pham-mat-pho-linh-lang-102m2-x-10-tang-mt-11m-gia-67-5-ty-id22735962,nha_mat_pho,"Quận Ba Đình, Hà Nội",Quận Ba Đình,Hà Nội,102 m2,16,16,67 tỷ 500 triệu,Hôm nay
Mặt phố Hào Nam | Lô góc | 58m2 x 2 tầng | MT 4.5m | Giá 43 tỷ,https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/mat-pho-hao-nam-lo-goc-58m2-x-2-tang-mt-4-5m-gia-43-ty-id22735652,nha_mat_pho,"Quận Đống Đa, Hà Nội",Quận Đống Đa,Hà Nội,58 m2,2,2,43 tỷ,Hôm nay
Bán mặt phố Đàm Quang Trung| 70m2 x 8 tầng | MT 4.5m | Giá 30.5 tỷ,https://mogi.vn/quan-long-bien/mua-nha-mat-tien-pho/ban-mat-pho-dam-quang-trung-70m2-x-8-tang-mt-4-5m-gia-30-5-ty-id22732427,nha_mat_pho,"Quận Long Biên, Hà Nội",Quận Long Biên,Hà Nội,70 m2,7,7,30 tỷ 500 triệu,Hôm nay
Cực phẩm | Mặt phố Khuất Duy Tiến| 46m2 x 3 tầng | MT 4.6m | 27 tỷ,https://mogi.vn/quan-thanh-xuan/mua-nha-mat-tien-pho/cuc-pham-mat-pho-khuat-duy-tien-46m2-x-3-tang-mt-4-6m-27-ty-id22732401,nha_mat_pho,"Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Hà Nội,46 m2,3,33,27 tỷ,Hôm nay
Cực đẹp | Mặt phố Kim Ngưu | 66m2 | MT 4.8m | Giá 31.5 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/cuc-dep-mat-pho-kim-nguu-66m2-mt-4-8m-gia-31-5-ty-id22732330,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,66 m2,3,3,31 tỷ 500 triệu,Hôm nay
Cực hiếm | Mặt phố Đống Mác - Lò Đúc | 77m2 | MT 5.6m | Giá 38.5 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/cuc-hiem-mat-pho-dong-mac-lo-duc-77m2-mt-5-6m-gia-38-5-ty-id22732307,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,77 m2,1,1,43 tỷ,Hôm nay
Bán mặt phố Trung Phụng | Nhà cấp 4 | 71 m2 | MT 4m | Giá 41.5 tỷ,https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/ban-mat-pho-trung-phung-nha-cap-4-71-m2-mt-4m-gia-41-5-ty-id22716614,nha_mat_pho,"Quận Đống Đa, Hà Nội",Quận Đống Đa,Hà Nội,71 m2,1,1,41 tỷ 500 triệu,Hôm nay
Bán mặt phố Lý Nam Đế | Hàng Hiếm Phố Cổ | 45m2 x 4 tầng | Giá 39.5 tỷ,https://mogi.vn/quan-hoan-kiem/mua-nha-mat-tien-pho/ban-mat-pho-ly-nam-de-hang-hiem-pho-co-45m2-x-4-tang-gia-39-5-ty-id22717593,nha_mat_pho,"Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Hà Nội,45 m2,4,4,39 tỷ 500 triệu,Hôm nay
Cực đẹp | Bán mặt phố Đại La | 40m2 | Mặt tiền 5m | Giá 30.5 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/cuc-dep-ban-mat-pho-dai-la-40m2-mat-tien-5m-gia-30-5-ty-id22719776,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,40 m2,3,5,30 tỷ 500 triệu,Hôm nay
Giá tốt đầu tư| 130m2 | Mặt tiền 4.1m | Bán mặt phố Tôn Đức Thắng,https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/gia-tot-dau-tu-130m2-mat-tien-4-1m-ban-mat-pho-ton-duc-thang-id22721133,nha_mat_pho,"Quận Đống Đa, Hà Nội",Quận Đống Đa,Hà Nội,130 m2,1,1,58 tỷ,Hôm nay
